Clinic,street1,street2,city,state,zip,county,phone,website,lat,lon,treatment
"AmandaBrookeFisher,NP",600 Jackson Street,NA,Fredericksburg,VA,22401,FREDERICKSBURG CITY,540-373-3223,,38.2972,-77.4622,BUPREN
"AmandaCHiggs,NP","508 pegasus Court, suite 508",NA,winchester,VA,22602,FREDERICK,,,39.1446,-78.1503,BUPREN
"AmandaKayKubin,PA",101 N. Lynnhaven Road,NA,Virginia Beach,VA,23452,VIRGINIA BEACH CITY,757-347-8996,,36.8395,-76.0692,BUPREN
"Ameanthea Blanco-Knezovich,NP",205 Greenbrier Road,Suite 104,Chesapeake,VA,23320,CHESAPEAKE CITY,757-413-5444,,36.7477,-76.2257,BUPREN
Amelia Health Care Center ,8920 Otterburn Rd,NA,Amelia Court House,VA,23002,,804-561-5150,http://www.sdhsinc.com,37.33790409,-77.98971448,HC
AmelonSquareImmediate,200 Amelon Sq,NA,Madison Heights,VA,24572,,434-929-4357,,37.46799529,-79.11694014,HC
AmericanAddictionTreatmentCenter,5583 Mooretown Road,NA,Williamsburg,VA,23188,,757 585-7611,,37.31644,-76.732407,OTP
AmericanAddictionTreatmentCenter,6983 Suite C Mid County Drive,NA,Hayes,VA,23072,,804 824-2816,,37.333831,-76.5155429,OTP
"AmericanAddictionTreatmentCenter,Inc.",12695 McManus Blvd Building 2,NA,Newport News,VA,23602,,757 234-4139,,37.1410399,-76.513025,OTP
AmherstCountyCommunity,134 Elon Rd,NA,Madison Heights,VA,24572,,434-455-2480,http://www.jhcvirginia.org,37.46711683,-79.12084577,HC
"Aminata Kamara,NP",SaVida Health,"6330 Five Mile Centre Park, Suite 400",Fredericksburg,VA,22191,SPOTSYLVANIA,540-548-2960,,38.2885,-77.5548,BUPREN
"Aminata Kamara,NP",4001 Prince William Parkway,Suite 300,Woodbridge,VA,22192,SPOTSYLVANIA,540-735-9350,,38.6653,-77.3315,BUPREN
"Amrita Rampertaap,NP",2070 Chain Bridge Road,NA,Vienna,VA,22182,FAIRFAX,703-383-4836,,38.9173,-77.2374,BUPREN
"AmyNicoleNeuhs,PA",85 Sangers Lane,NA,Staunton,VA,24401,AUGUSTA,540-887-3200,,38.1274,-79.0301,BUPREN
"AndreaMarieJackson, ",541 SUNSET Lane,STE 103,CULPEPER,VA,22701,CULPEPER,540-321-3002,,38.455,-78.0129,BUPREN
"AndreaWarrenRupe,FNP",101 1st Street NW,NA,Pulaski,VA,24301,PULASKI,540-980-0550,,37.0464,-80.7831,BUPREN
"AndrewBenjaminMoore,MD",CMC Emergency Department,1906 Belleview Avenue SE,Roanoke,VA,24014,,540-682-6251,,37.2517,-79.9411,BUPREN
"AndrewP.Meyer,DO",Winchester Medical Center Behavioral Health Service,1890 Amherst Street,Winchester,VA,22601,WARREN,304-886-5229,,39.1949,-78.1945,BUPREN
"AngelaHendricksHarrison,NP",460 Front Street,NA,Richlands,VA,24641,TAZEWELL,276-598-4448,,37.0926,-81.7839,BUPREN
"AngeliaMichelleHopkins, ",Hopkins Medical Association,460 Front Street,Richlands,VA,24641,TAZEWELL,276-598-4448,,37.0932,-81.7937,BUPREN
"AnilLorrolGanga, ",601 Campbell Ave SW,NA,Roanoke,VA,24016,,540-339-9195,,37.2713,-79.9526,BUPREN
"AnilLorrolGanga, ",Center for Emotional Care,400  East Burwell Street,Salem,VA,24153,SALEM,540-387-3105,,37.2919,-80.0528,BUPREN
"AnnaMarieHembrick, ",3974 Springfield Road,NA,Glen Allen,VA,23060,HENRICO,804-495-8661,,37.6441,-77.5598,BUPREN
"Annelee Boyle,MD",1204 W Main Street,3rd Floor Battle Building,Charlottesville,VA,22903,CHARLOTTESVILLE CITY,434-924-2500,,38.0328,-78.4974,BUPREN
"AnnElizabethRawlings,M.D.",7510 Major Ave,NA,Norfolk,VA,23505,NORFOLK CITY,757-489-0703,,36.9151,-76.2983,BUPREN
"AnnetteGayTarpley,NP",1605 North Franklin Street,NA,Christiansburg,VA,24073,MONTGOMERY,540-381-2425,,37.1266,-80.4138,BUPREN
"Antonio Quidgley-Nevares,MD",721 Fairfax Avenue,3rd Floor,Norfolk,VA,23507,NORFOLK CITY,757-446-5915,,36.8601,-76.3019,BUPREN
AppalachiaFamilyHealth,536 E Main St,NA,Appalachia,VA,24216,,276-565-2761,http://www.stonemountainhealthservices.com,36.90819676,-82.77069332,HC
ArlingtonCountyCommunityServsBoard,2100 Washington Boulevard,NA,Arlington,VA,22204,Arlington,703-228-5150,http://health.arlingtonva.us/behavioral-healthcare/,38.8734688,-77.0832363,MH
ARSVirginia,210 Front Royal Pike,NA,Winchester,VA,22601,,540 545-8794,,39.158833,-78.158231,OTP
"Arthur Webb,MD",3046 Valley Avenue,Suite 100,Winchester,VA,22601,WINCHESTER CITY,703-725-4052,,39.1433,-78.1895,BUPREN
"AshleyAnnWinegar, ",1716 Overhill Road,NA,Bristol,VA,24201,BRISTOL CITY,423-418-0750,,36.6205,-82.1685,BUPREN
"AshleyMarieLyons, ",260 Grayson Road,Suite 100,Virginia Beach,VA,23462,VIRGINIA BEACH CITY,757-497-3670,,36.8323,-76.1558,BUPREN
AtlanticCommunityHealth,5219 Lankford Hwy,NA,New Church,VA,23415,,757-824-5676,,37.96544134,-75.53251824,HC
AtlanticCommunityPharmacy,7001 Lankford Hwy,NA,Oak Hall,VA,23416,,757-824-4477,http://www.esrh.org,37.94468737,-75.54074952,HC
AtlasCounselingCenter,174 Costello Drive,NA,Winchester,VA,22602,Frederick,540-722-6238,http://www.atlascounselingcenter.com,39.1561377,-78.1568674,SU
AugustaHealth,79 North Medical Park Drive,NA,Fishersville,VA,22939,Augusta,540-213-2525,http://www.augustahealth.com,38.0908147,-78.9934153,SU
"AuryanaJessamynMalek,NP",5105Q Backlick Rd,NA,Annandale,VA,22003,FAIRFAX,571-232-8802,,38.8138,-77.1844,BUPREN
AVillageYouthAndFamilyServices,2025 East Main Street,Suite 7,Richmond,VA,23223,Richmond City,804-225-0749,http://www.wearethevillage.net/,37.531271,-77.4253284,MH
"AyniAhmedSharif,PA",5922 W. Broad Street,NA,Richmond,VA,23230,RICHMOND CITY,804-282-6953,,37.5927,-77.5066,BUPREN
BaconStreetYouthAndFamilyServices,247 McLaws Circle,NA,Williamsburg,VA,23185,James City,757-253-0111,http://www.baconstreet.org,37.245271,-76.660555,SU
BaconStreetYouthAndFamilyServices,6523 Main Street,NA,Gloucester,VA,23061,Gloucester,757-253-0111,http://www.baconstreet.org,37.4153056,-76.529472,SU
BaconStreetYouthAndFamilyServices,4034 George Washington Highway,Suite B,Williamsburg,VA,23185,York,757-253-0111,http://www.baconstreet.org,36.805556,-76.321356,SU
"BarbaraJohnsonKimmer-Lynch, ",9001 Diggges Road,Suite 104,Manassas,VA,20115,MANASSAS CITY,703-973-9007,,38.7698,-77.4877,BUPREN
BarbaraL.WillisWellness,1541 High St,NA,Portsmouth,VA,23704,,757-393-6363,,36.83488012,-76.3179267,HC
BassettFamilyPractice,324 T B Stanley Hwy,NA,Bassett,VA,24055,,276-629-1076,http://www.healthycommunitymhc.org,36.7360285,-79.95913952,HC
"BeccaJoWard,NP",Scott Co Behavioral Health Services,1006 US Highway 23N,Weber City,VA,24290,SCOTT,276-225-0976,,36.6078,-82.5689,BUPREN
Bedford CommunityDental,600 Bedford Ave,NA,Bedford,VA,24523,,434-455-2480,http://www.jhcvirginia.org,37.3378854,-79.52975524,HC
Bedford CommunityHealth,582 Blue Ridge Ave,NA,Bedford,VA,24523,,540-425-7910,http://www.jhcvirginia.org,37.33751199,-79.53269201,HC
"BenAlanFickenscher,MD",1041 Briarwood Pt,NA,Virginia Beach,VA,23452,VIRGINIA BEACH CITY,757-754-2716,,36.8716,-76.0956,BUPREN
BermudaMedicalCenter,2740 Bensley Commons Blvd,NA,North Chesterfield,VA,23237,,804-780-0840,http://www.cahealthnet.org,37.4241312,-77.44045758,HC
"BethEzzellLevin,MD",825 Fairfax Avenue,Suite 310,Norfolk,VA,23507,NORFOLK CITY,757-446-7900,,36.8605,-76.3036,BUPREN
"BHGXLII,LLC",13100 Mountain Road,NA,Glen Allen,VA,23059,,804 230-0999,,37.690883,-77.545447,OTP
"BHGXLII,LLC",1333 Carrsville Highway,NA,Franklin,VA,23851,,757 304-9857,,36.688289,-76.906231,OTP
"BHGXLII,LLC",6000 Jefferson Avenue,NA,Newport News,VA,23605,,757 933-2660,,37.0144052,-76.4407382,OTP
"BHGXLII,LLC",109 WIMBLEDON SQUARE,NA,CHESAPEAKE,VA,23320,,757 410-8244,,36.742645,-76.244727,OTP
"BHGXLII,LLC",5715 Princess Anne Road Suite,NA,Virginia Beach,VA,23462,,757 962-0748,,36.840091,-76.1839339,OTP
"BHGXLI,LLC",3322 Western Branch Blvd.,NA,Chesapeake,VA,23321,,757 673-3644,,36.8660329,-76.4135083,OTP
BLANDCOUNTYMEDICAL,12301 Grapefield Rd,NA,Bastian,VA,24314,,276-688-4331,http://blandclinic.com,37.17716936,-81.14393193,HC
BlandCountyMedicalClinic,8487 S Scenic Hwy,NA,Bland,VA,24315,,276-688-4711,http://BlandClinic.com,37.10090842,-81.12308898,HC
BlueRidgeBehavioralHealthcare,1315 Franklin Road SW,NA,Roanoke,VA,24016,Roanoke City,540-981-1102,http://www.brbh.org/,37.2655777,-80.0056012,MH
BlueRidgeDentalCenter,4038 Thomas Nelson Hwy STE B,NA,Arrington,VA,22922,,434-263-6310,,37.70763541,-78.93390603,HC
BlueRidgeMedical,624 Jones St,NA,Appomattox,VA,24522,,434-263-4000,,37.36748228,-78.82697155,HC
BlueRidgeMedical,210 S Main St,NA,Amherst,VA,24521,,434-263-4000,,37.58471439,-79.05260291,HC
"BLUERIDGEMEDICALCENTER,",4038 Thomas Nelson Hwy,NA,Arrington,VA,22922,,434-263-4000,http://www.brmedical.org,37.70757506,-78.93401382,HC
BluestoneHealthClinic,562 Virginia Ave,NA,Bluefield,VA,24605,,304-431-5499,,37.25282006,-81.27103209,HC
"Bogdan Ionescu, ","Rock Landing Psychological Group, P.C.","11825 Rock Landing Drive, James Building",Newport News,VA,23606,NEWPORT NEWS CITY,757-873-1736,,37.091,-76.4667,BUPREN
"BradfordRolandClower,NP",52 Medical Group Unit 3690,ATTN CREDENTIAL OFFICE,APO,AE,9126,ARLINGTON,314-452-8595,,38.8958,-77.0706,BUPREN
"BrendaJeanKozak,NP",134 Elon Road,NA,MADISON HEIGHTS,VA,24572,AMHERST,434-929-1400,,37.4676,-79.1206,BUPREN
"BrianJosephMasterson,M.D.",3580 Joseph Siewick Drive,Suite 306,Fairfax,VA,22033,FAIRFAX,703-391-4520,,38.8863,-77.3801,BUPREN
"BrianWGravley,NP",4521 Brambleton Avenue,Suite 205,Roanoke,VA,24018,ROANOKE,540-904-7771,,37.2233,-80.0146,BUPREN
"BridgetteMichaelleVest,NP",4346 Starkey Rd,Suite 1,Roanoke,VA,24018,ROANOKE,15407728043,,37.2345,-80.0204,BUPREN
"BridgetteMichaelleVest,NP","Blue Ridge Telehealth, LLC",Suite 1,Roanoke,VA,24018,ROANOKE CITY,15407728043,,37.2919,-80.0528,BUPREN
"Brightview,LLC",1345 Plantation Rd. NE,NA,Roanoke,VA,24012,,330 809-0572,,37.2840161,-79.9286172,OTP
"BrightView,LLC",209 Research Drive Suite 102,NA,Chesapeake,VA,23320,,513 843-7063,,36.7731569,-76.2590463,OTP
"Brightview,LLC (Winchester)",200 Faraday Plaza,NA,Winchester,VA,22603,,833 510-4357,,39.2151975,-78.139799,OTP
BristolCommunityHealth,2195 Euclid Ave STE 6,NA,Bristol,VA,24201,,276-669-5179,http://svchs.com,36.59639609,-82.20925581,HC
"BrittanyAnnThurmond,NP",11049 Warwick Blvd,NA,Newport News,VA,23601,,757-703-0560,,37.046,-76.4741,BUPREN
"Brittany Bailey,NP",11745 Jefferson Avenue,Unit 10B,Newport News,VA,23606,,757-913-5920,,37.082,-76.4809,BUPREN
"Brittany Bailey,NP",2790 Godwin Boulevard,Suite 210,Suffolk,VA,23434,,757-942-4442,,36.7729,-76.5812,BUPREN
"Brittany Bailey,NP",516 Innovation Drive,Suite 102,Chesapeake,VA,23320,,757-614-1524,,36.7357,-76.22,BUPREN
"Brittany Bailey,NP",101 N Lynnhaven Road,Suite 100,Virginia Beach,VA,23452,,757-321-0795,,36.8394,-76.0692,BUPREN
"BrittanyNicholeRessel,NP",6913 Bethnal Court,NA,Springfield,VA,22150,FAIRFAX,585-474-9135,,38.7663,-77.1908,BUPREN
"BruceEdwardWilliams,III",Intercept Health,5673 Airport Rd NW,Roanoke,VA,24012,ROANOKE,540-523-8080,,37.3238,-79.961,BUPREN
"Candace Cane,NP",4306 Evergreen Lane #204,NA,Annandale,VA,22003,FAIRFAX,703-750-1292,,38.8311,-77.1867,BUPREN
"CandaceNicoleCarbary,NP",300 Valley Street NE,NA,Abingdon,VA,24210,WASHINGTON,276-206-8197,,36.7142,-81.9671,BUPREN
"CaraElizabethCampbell,NP",517 West Grace Street,NA,Richmond,VA,23220,RICHMOND CITY,804-649-2119,,37.5475,-77.4479,BUPREN
"CaraNicoleRobinson, ",208 Front Street West,NA,Coeburn,VA,24230,WISE,276-455-5556,,36.9418,-82.4719,BUPREN
CarilionClinic,2017 South Jefferson Street SW,NA,Roanoke,VA,24014,Roanoke City,540-266-6971,http://carilionclinic.org/locations/carilion-clinic-child,37.2502922,-79.9446888,MH
CARITAS,2220 Stockton St,NA,Richmond,VA,23224,,804-783-2505 x236,,37.5135734,-77.4511803,HC
"CarlaL.Sanders,NP",650 Laurel St,NA,Culpeper,VA,22701,CULPEPER,,,38.4559,-78.0147,BUPREN
"CarlaL.Sanders,NP",12 North Hill Drive,NA,Warrenton,VA,20186,FAUQUIER,,,38.7236,-77.791,BUPREN
"CarlThurmanHarrison,Jr.,NP",770 W. Ridge Road,NA,Wythville,VA,24382,WYTHE,276-223-3200,,36.9531,-81.0974,BUPREN
"CarmenMarieWynes,NP",850 Tidewater Drive,Suite B,Norfolk,VA,23504,NORFOLK CITY,757-333-6992,,36.8529,-76.2743,BUPREN
"CarolineJSutter,NP",7734 Middle Valley Drive,NA,Springfield,VA,22153,FAIRFAX,703-626-4240,,38.7443,-77.2305,BUPREN
"Cary Oaster,NP",1200 E Marshall Street,NA,Richmond,VA,23298,RICHMOND CITY,804-338-3808,,37.5405,-77.4303,BUPREN
"CatharineWhiteCartwright,PA",2501 James Madison Boulevard,NA,Virginia Beach,VA,23456,,757-385-8516,,36.7528,-76.0614,BUPREN
"CedricHiltonCampbell,MD",VCU Department of Anesthesiology,"1200 E. Broad Street, 7th Floor Box 980695",Richmond,VA,23298,,804-828-2207,,37.5394,-77.4305,BUPREN
"CelesteFaithMullins,NP",43 Champion Avenue,NA,Big Stone Gap,VA,24219,WISE,276-523-8300,,36.8858,-82.7318,BUPREN
"Celestina Amlalo,NP",905-C Southlake Boulevard,NA,Richmond,VA,23236,CHESTERFIELD,804-419-0493,,37.5055,-77.5973,BUPREN
"Celestina Amlalo,NP",681 Hioaks Rd suite A,NA,Richmond,VA,23225,,804-320-3626,,37.512,-77.5244,BUPREN
CenterForChildAndFamilyServices,348 Mclaws Circle,Suite 1,Williamsburg,VA,23185,James City,757-838-1960,http://www.kidsandfamilies.com,37.24545,-76.6642825,MH
CenterForChildAndFamilyServices,2021 Cunningham Drive,Suite 400,Hampton,VA,23666,Hampton City,757-838-1960,http://wwwkidsandfamilies.com,37.0461535,-76.3840312,MH
CenterForDiscovery,5343 Summit Drive,NA,Fairfax,VA,22030,Fairfax,866-862-3631,http://centerfordiscovery.com/locations/fairfax/,38.8371198,-77.3870408,MH
CenterForDiscovery,209 Madison Street,Suite 3-B,Alexandria,VA,22306,Fairfax,855-818-2029,http://centerfordiscovery.com/locations/alexandria-outpatient/,38.8126936,-77.0404347,MH
CentraHealthInc,693 Leesville Road,NA,Lynchburg,VA,24502,Lynchburg City,434-200-5700 x5025,http://www.centrahealth.com/facilities/bridges-treatment-center,37.3433531,-79.2056258,MH
CENTRALHIGHSCHOOL,131 K V Rd,NA,Victoria,VA,23974,,434-696-2137,http://www.sdhsinc.com,36.98519599,-78.21626298,HC
"Charla Bacon,NP",2426 Lee Highway,Suite 104,Bristol,VA,24202,,423-282-3379,,36.6294,-82.1499,BUPREN
"CherylAnnLumbard, ",4020 Raintree Road,Suite A,Chesapeake,VA,23321,CHESAPEAKE CITY,757-606-1377,,36.829,-76.4071,BUPREN
"Cheryl Segal, ",297 Independence Boulevard,Suite 126,Virginia Beach,VA,23451,,757-385-0908,,36.8448,-76.1416,BUPREN
ChesapeakeCommunityHealth,490 Liberty St,NA,Chesapeake,VA,23324,,757-000-0000,,36.82266234,-76.27478035,HC
ChesapeakeIntegrated,224 Great Bridge Boulevard,NA,Chesapeake,VA,23320,Chesapeake City,757-547-9334,http://www.chesapeakeibh.net,36.7355808,-76.2469162,MH
ChesterfieldCommunityServicesBoard,6801 Lucy Corr Boulevard,Rogers Building,Chesterfield,VA,23832,Chesterfield,804-748-1227,http://www.chesterfield.gov,37.3823412,-77.5059885,MH
ChildhelpUSA,23164 Dragoon Road,NA,Lignum,VA,22726,Culpeper,540-399-1926,http://www.childhelp.org,38.3875918,-77.8414071,MH
ChildrensHospitalOfTheKingsDaugh,601 Childrens Lane,NA,Norfolk,VA,23507,Norfolk City,757-668-4673,http://www.chkd.org,36.8615399,-76.3018629,MH
ChildrensServicesCenter,5505 Robin Hood Road,Suites C-1 and C-2,Norfolk,VA,23513,Norfolk City,757-756-5600,http://www.norfolk.gov/996/Norfolk-Community-Services-Board,36.880722,-76.2148678,MH
ChildSavers,200 North 22nd Street,NA,Richmond,VA,23223,Richmond City,804-644-9590,http://www.childsavers.org/,37.5328094,-77.4223523,MH
ChilhowieElementarySchool,130 E Lee Hwy,NA,Chilhowie,VA,24319,,276-646-8220,,36.79882353,-81.68184239,HC
 Chincoteague Island Community Health Center,4049 Main St,NA,Chincoteague Island,VA,23336,,757-336-3682,http://www.esrh.org,37.93376068,-75.37785804,HC
ChippenhamMedicalCenter,7101 Jahnke Road,NA,Richmond,VA,23225,Richmond City,804-483-0050,http://cjwmedicalcenter.com,37.513886,-77.5263617,SU
"Christina Millinger,PA",406 W. Main Street,Suite 100,Abingdon,VA,24210,WASHINGTON,276-356-0501,,36.7074,-81.9837,BUPREN
"ChristopherPaulKogut, ",517 W Grace St,NA,Richmond,VA,23220,,804-783-2505,,37.5475,-77.4479,BUPREN
"ChristopherSeanMoon,MD",1900 Chatsworth drive,NA,Bon Air,VA,23235,CHESTERFIELD,804-323-2547,,37.5174,-77.5699,BUPREN
"ChristyMichelleHarshberger,NP",4001 Prince William Parway,NA,Woodbridge,VA,22192,PRINCE WILLIAM,703-214-5825,,38.6653,-77.3315,BUPREN
"ChristyMichelleHarshberger,NP",14330 Gideon Drive,NA,Woodbridge,VA,22192,PRINCE WILLIAM,703-214-5825,,38.6397,-77.2931,BUPREN
"CityOfNorfolk,CommunityServicesBoard-OpioidTreatmentProgram","Tidewater Drive Center ORTP, 7460 Tidewater Dr.",NA,Norfolk,VA,23505,,757 664-6670,,36.9147,-76.2853,OTP
"CityOfPortsmouth,DepartmentOfBehavioralHealthcareServices,SubstanceAbuseOutpatientTreatmentServices",1811 King Street,NA,Portsmouth,VA,23704,,757 393-8896,,36.833835,-76.321109,OTP
"ClairMarieOja, ",22895 Brambleton Plaza Ste 200,200,Ashburn,VA,20148,LOUDOUN,703-722-2312,,38.9839,-77.5376,BUPREN
"ClairMarieOja, ",51 Catoctin Circle NE,NA,Leesburg,VA,20176,LOUDOUN,703-777-9510,,39.112,-77.5538,BUPREN
"ClaudiaJeanWhite,NP",240 Executive Center Parkway,NA,Fredericksburg,VA,22401,SPOTSYLVANIA,540-212-6090,,38.3118,-77.4802,BUPREN
ClayStreet,500 Clay St,NA,Lynchburg,VA,24504,,434-200-3366,,37.41643871,-79.14777037,HC
ClinchRiverHealth,17285 Veterans Memorial Hwy,NA,Dungannon,VA,24245,,276-467-2201,http://www.crhealth.org,36.81686605,-82.49424899,HC
ClinicalAnnexMontgomery,209 Roanoke St STE 4,NA,Christiansburg,VA,24073,,540-381-0820,,37.13014592,-80.40305534,HC
"ClintonSamuelSteveWebb,NP",406 West Main Street,NA,Abingdon,VA,24210,WASHINGTON,833-952-0829,,36.7074,-81.9837,BUPREN
CMCSB,113 Cumberland Road,NA,Cedar Bluff,VA,24609,Tazewell,276-964-6702,http://www.cmcsb.com,37.0876141,-81.7590032,MH
CMCSBAdministration,196 Cumberland Road,NA,Cedar Bluff,VA,24609,Tazewell,276-964-6702,http://www.cmcsb.com,37.0091399,-81.7938945,MH
CMCSBTazewellCo,526 West Main Street,NA,Tazewell,VA,24651,Tazewell,276-964-6702,http://www.cmcsb.com,37.1143766,-81.5252975,MH
"ColletteFnyiNgante, ",1229 Garrisonville Road,Suite 104,Stafford,VA,22556,STAFFORD,540-779-1648,,38.4799,-77.4767,BUPREN
ColonialBehavioralHealth,921 Capital Landing Road,NA,Williamsburg,VA,23185,James City,757-220-3200,http://www.colonialbh.org,37.2845869,-76.6880463,MH
ColonialHeightsCounseling,3660 Boulevard,Suite A,Colonial Heights,VA,23834,Colonial Heights City,804-520-7210,http://d19csb.com,37.2821898,-77.4129474,MH
CommuniCareFamilyHealth,804 Whitaker Ln,NA,Norfolk,VA,23510,,757-393-6363,http://www.hrchc.org,36.85596067,-76.28365604,HC
COMMUNITYDENTALSERVICES,1033 28th St,NA,Newport News,VA,23607,,757-928-3810,http://pich.org,36.98802116,-76.41161702,HC
ComprehensiveAddictionTreatmentServices (CATS),3300 Gallows Rd.,NA,Falls Church,VA,22042,,703 776-7782,,38.858749,-77.226252,OTP
"ConnieLeeTurner,NP",102 Main Street,NA,Greenfield,MA,1301,HIGHLAND,413-325-8500,,38.4106,-79.581,BUPREN
"Cordelia Nieketien-Tawari,NP",Fairfax-Falls Church Community Services Board,"1850 Cameron Glen Drive, Suite 200",Reston,VA,20190,FAIRFAX,703-481-4100,,38.9655,-77.3588,BUPREN
"CorettaLatonyaThurman,NP",2575 Hawthorne Avenue,NA,Buena Vista,VA,24416,,540-570-2999,,37.7379,-79.3434,BUPREN
CouncilFamilyHealth,4124 Council Mountain Rd,NA,Honaker,VA,24260,,276-859-0859,,37.08084059,-82.06885583,HC
"CourtneyKeslerRocovich,DO",1906 Belleview Avenue,NA,Roanoke,VA,24014,ROANOKE CITY,540-731-2952,,37.2517,-79.9411,BUPREN
CRAIGCOUNTYDENTALCENTER,230 Market St,NA,New Castle,VA,24127,,304-772-3064,,37.50453452,-80.10958613,HC
CRAIGCOUNTYHEALTHCENTER,226 Market St,NA,New Castle,VA,24127,,304-772-3064,http://www.monroehealthcenter.com,37.50464504,-80.10945294,HC
CRAIGCOUNTYWELLNESS,25239 Craigs Creek Rd,NA,New Castle,VA,24127,,304-772-3064,http://www.monroehealthcenter.com,37.51660044,-80.0860609,HC
CrossroadsCommunityServicesBoard,214 Bush River Drive,NA,Farmville,VA,23901,Prince Edward,434-392-7049,http://www.crossroadscsb.org,37.2806369,-78.3534215,MH
"CrossroadsTreatmentCenterOfDanville,PC",1555 Meadowview Dr.,NA,Danville,VA,24541,,434 685-1570,,36.605649,-79.526811,OTP
"CrossroadsTreatmentCenterOfPetersburg,PC",10543 South Crater Road,NA,Petersburg,VA,23805,,804 431-5585,,37.167408,-77.356657,OTP
"CrossroadsTreatmentCenterOfSuffolk,PC",1258 Holland Road,NA,Suffolk,VA,23434,,757 809-4771,,36.7296613,-76.6159752,OTP
"CrossroadsTreatmentCenterOfWinchester,PC","500 Pegasus Court, Suite 500",NA,Winchester,VA,22602,,540 313-4196,,39.144717,-78.150356,OTP
"CrystalHubbardAlexander,NP",901 Correction Way,NA,Jarratt,VA,23870,GREENSVILLE,434-602-3781,,36.7987,-77.4864,BUPREN
"Crystal Large,NP",15205 Joe Derting Drive,NA,Abingdon,VA,24210,WASHINGTON,276-431-8000,,36.7326,-81.912,BUPREN
"CulpeperTreatmentServices,LLC",571 James Madison HWY,NA,Culpeper,VA,22701,,540 547-3769,,38.4803086,-77.9807351,OTP
CumberlandMountainCommServsBoard,1014 Stillhouse Hollow Road,NA,Grundy,VA,24614,Buchanan,276-935-7154,http://www.cmcsb.com,37.2960999,-82.0562493,MH
"CurtisRussellBryan,MD",224 Great Bridge Boulavard,NA,Chesapeake,VA,23320,CHESAPEAKE CITY,757-547-9334,,36.7357,-76.2467,BUPREN
CVHS-BlueDevilsHealth,400 S Mesa Dr,NA,Hopewell,VA,23860,,804-972-0068,http://www.cvhsinc.org,37.289805,-77.315528,HC
CVHSBrunswick,8380 Boydton Plank Rd,NA,Alberta,VA,23821,,804-949-7211,http://www.cvhsinc.org,36.84239267,-77.90673372,HC
CVHSBuckingham,25892 N James Madison Hwy,NA,New Canton,VA,23123,,434-581-3271,http://www.cvhsinc.org,37.63692052,-78.36087437,HC
